genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,F0,F1,F2
30,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
31,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
32,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
33,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
34,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
35,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
36,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
37,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
38,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
39,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
40,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
41,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
42,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
43,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
44,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
45,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
46,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
47,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
48,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
49,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
